timestamp,merchant_category,amount (INR),transaction_status
2025-07-12,Entertainment,22,SUCCESS
2024-03-12,Healthcare,22,SUCCESS
2025-04-14,Utilities,22,SUCCESS
2020-03-24,Shopping,826,SUCCESS
2023-11-29,Food,3095,SUCCESS
2024-10-28,Utilities,22,SUCCESS
2022-10-17,Utilities,22,SUCCESS
2022-09-27,Shopping,22,SUCCESS
2022-05-01,Healthcare,22,SUCCESS
2022-01-22,Entertainment,22,SUCCESS
2022-07-08,Utilities,2230,SUCCESS
2024-02-02,Other,496,SUCCESS
2025-07-07,Other,22,SUCCESS
2020-05-17,Other,22,SUCCESS
2019-06-14,Other,22,SUCCESS
2025-07-04,Education,1399,SUCCESS
2022-09-16,Food,2638,SUCCESS
2025-06-13,Education,581,SUCCESS
2022-09-02,Grocery,3545,SUCCESS
2026-05-13,Other,1672,FAILED
2019-09-29,Utilities,2429,SUCCESS
2025-06-26,Education,510,FAILED
2023-01-24,Other,22,SUCCESS
2022-09-22,Grocery,22,SUCCESS
2022-09-18,Shopping,1964,SUCCESS
2025-07-04,Grocery,3112,SUCCESS
2018-07-22,Food,275,SUCCESS
2026-05-14,Fuel,3253,SUCCESS
2020-10-13,Fuel,3441,SUCCESS
2025-07-31,Transport,22,SUCCESS
2024-09-22,Food,22,SUCCESS
2023-11-21,Fuel,3715,SUCCESS
2026-02-26,Healthcare,2348,SUCCESS
2021-11-07,Utilities,1299,SUCCESS
2023-11-28,Healthcare,22,SUCCESS
2021-08-23,Fuel,6489,SUCCESS
2025-12-18,Shopping,580,SUCCESS
2022-03-06,Education,4009,SUCCESS
2025-11-11,Transport,2141,SUCCESS
2023-02-17,Shopping,97,SUCCESS
2025-01-21,Grocery,64,SUCCESS
2024-09-12,Other,22,SUCCESS
2020-07-23,Fuel,817,SUCCESS
2022-09-23,Grocery,1950,SUCCESS
2025-05-18,Grocery,2065,SUCCESS
2025-09-19,Transport,22,SUCCESS
2022-02-09,Healthcare,1641,SUCCESS
2020-06-05,Fuel,3246,SUCCESS
2023-09-18,Other,2026,SUCCESS
2025-05-16,Entertainment,1783,SUCCESS
2025-05-12,Other,22,SUCCESS
2023-12-13,Other,628,SUCCESS
2021-05-02,Fuel,2264,SUCCESS
2023-03-17,Food,2114,SUCCESS
2022-06-09,Grocery,2959,SUCCESS
2022-08-15,Grocery,4989,SUCCESS
2024-08-29,Utilities,3152,SUCCESS
2024-10-11,Food,1841,SUCCESS
2017-11-07,Utilities,921,SUCCESS
2021-03-16,Grocery,5098,SUCCESS
2021-02-11,Food,155,SUCCESS
2025-11-13,Transport,2046,SUCCESS
2023-10-03,Fuel,1669,SUCCESS
2019-06-29,Entertainment,189,SUCCESS
2025-01-20,Grocery,22,SUCCESS
2022-01-24,Utilities,22,SUCCESS
2021-01-02,Entertainment,22,SUCCESS
2026-02-28,Fuel,797,SUCCESS
2019-10-04,Other,3552,SUCCESS
2023-07-02,Transport,22,SUCCESS
2025-02-08,Food,2118,SUCCESS
2025-07-10,Grocery,1974,SUCCESS
2025-08-09,Food,891,FAILED
2021-12-29,Shopping,22,SUCCESS
2024-07-28,Transport,3272,SUCCESS
2023-06-29,Transport,1874,SUCCESS
2025-03-30,Fuel,2512,SUCCESS
2024-10-23,Food,3995,FAILED
2022-05-23,Healthcare,856,SUCCESS
2024-12-29,Food,1858,SUCCESS
2023-12-27,Shopping,1893,SUCCESS
2024-12-11,Other,1832,SUCCESS
2024-07-31,Food,22,SUCCESS
2026-03-08,Transport,22,SUCCESS
2026-01-08,Entertainment,22,SUCCESS
2026-03-24,Food,1464,SUCCESS
2025-07-16,Grocery,1252,SUCCESS
2020-03-26,Food,2198,SUCCESS
2024-07-01,Food,2982,SUCCESS
2019-04-26,Entertainment,855,SUCCESS
2020-05-18,Utilities,327,SUCCESS
2023-03-02,Grocery,182,SUCCESS
2020-12-18,Entertainment,5878,FAILED
2023-11-21,Entertainment,5111,SUCCESS
2023-08-19,Other,2515,SUCCESS
2023-04-30,Fuel,1117,SUCCESS
2024-08-22,Grocery,1103,FAILED
2024-04-27,Grocery,22,SUCCESS
2022-02-01,Other,22,SUCCESS
2025-11-28,Utilities,524,SUCCESS
2025-07-24,Healthcare,1106,SUCCESS
2023-09-24,Education,22,SUCCESS
2024-02-12,Utilities,22,SUCCESS
2018-05-04,Entertainment,1722,SUCCESS
2019-05-11,Entertainment,22,SUCCESS
2025-02-03,Shopping,70,SUCCESS
2023-01-27,Fuel,22,SUCCESS
2021-01-31,Grocery,2734,SUCCESS
2022-01-21,Utilities,4425,SUCCESS
2020-07-22,Healthcare,22,SUCCESS
2024-06-21,Fuel,753,SUCCESS
2026-04-17,Healthcare,2368,SUCCESS
2025-08-13,Shopping,2856,SUCCESS
2024-07-24,Grocery,1865,SUCCESS
2024-10-31,Grocery,22,SUCCESS
2025-02-23,Shopping,4979,SUCCESS
2021-08-04,Food,931,SUCCESS
2025-03-13,Grocery,1892,SUCCESS
2025-12-31,Entertainment,2191,SUCCESS
2022-09-29,Shopping,1587,SUCCESS
2024-11-29,Healthcare,1155,SUCCESS
2020-09-08,Other,22,SUCCESS
2024-11-19,Grocery,862,SUCCESS
2025-07-11,Fuel,2574,SUCCESS
2022-03-02,Other,1403,SUCCESS
2023-10-19,Fuel,2481,SUCCESS
2020-11-23,Shopping,313,SUCCESS
2021-08-27,Food,204,SUCCESS
2022-08-01,Entertainment,2535,SUCCESS
2025-02-16,Entertainment,4089,SUCCESS
2018-05-10,Grocery,22,SUCCESS
2024-06-21,Healthcare,333,SUCCESS
2026-05-29,Grocery,22,FAILED
2024-06-01,Entertainment,1558,SUCCESS
2026-02-12,Grocery,1240,SUCCESS
2025-09-14,Food,22,SUCCESS
2024-11-08,Grocery,22,SUCCESS
2022-02-02,Utilities,22,SUCCESS
2026-03-01,Other,22,SUCCESS
2020-11-05,Utilities,2560,SUCCESS
2025-04-02,Grocery,753,SUCCESS
2018-11-20,Utilities,1576,SUCCESS
2022-09-15,Utilities,22,FAILED
2024-09-01,Shopping,22,SUCCESS
2025-12-18,Fuel,1083,SUCCESS
2025-04-15,Other,1786,SUCCESS
2021-04-29,Entertainment,3410,SUCCESS
2023-02-23,Food,22,SUCCESS
2022-10-20,Utilities,22,SUCCESS
2022-02-03,Fuel,2814,SUCCESS
2018-05-07,Utilities,2282,SUCCESS
2023-07-27,Transport,2241,SUCCESS
2023-03-24,Other,924,SUCCESS
2023-12-24,Entertainment,1284,SUCCESS
2022-08-11,Grocery,2243,SUCCESS
2021-12-02,Shopping,2669,SUCCESS
2020-06-11,Transport,22,SUCCESS
2018-09-25,Transport,1172,FAILED
2021-06-14,Food,1237,FAILED
2022-07-01,Other,1666,SUCCESS
2022-08-22,Entertainment,3596,SUCCESS
2024-12-11,Entertainment,1099,SUCCESS
2018-07-19,Grocery,932,SUCCESS
2020-04-13,Fuel,22,SUCCESS
2024-12-13,Shopping,1620,SUCCESS
2019-11-20,Other,2320,SUCCESS
2024-06-23,Food,2265,SUCCESS
2022-10-17,Other,1507,SUCCESS
2022-02-12,Grocery,383,SUCCESS
2019-07-31,Other,393,SUCCESS
2025-02-04,Food,1485,SUCCESS
2023-12-21,Fuel,1406,SUCCESS
2023-12-29,Shopping,594,SUCCESS
2025-07-19,Grocery,3137,SUCCESS
2024-05-13,Fuel,2924,SUCCESS
2023-09-22,Entertainment,2811,SUCCESS
2025-11-04,Shopping,1128,SUCCESS
2024-05-23,Food,858,SUCCESS
2023-11-21,Food,597,SUCCESS
2022-05-29,Grocery,259,SUCCESS
2025-03-05,Other,402,SUCCESS
2020-10-11,Grocery,1033,SUCCESS
2021-12-16,Grocery,2795,SUCCESS
2021-04-12,Transport,3191,SUCCESS
2023-06-15,Fuel,2766,SUCCESS
2018-11-01,Food,2443,SUCCESS
2023-04-02,Utilities,22,SUCCESS
2023-01-25,Entertainment,1360,SUCCESS
2024-09-05,Food,1647,FAILED
2024-02-13,Grocery,1331,SUCCESS
2023-06-12,Other,4134,SUCCESS
2025-03-06,Grocery,3195,SUCCESS
2026-05-18,Shopping,2392,SUCCESS
2023-09-07,Shopping,22,SUCCESS
2026-02-03,Shopping,22,SUCCESS
2023-06-22,Food,89,SUCCESS
2026-04-25,Other,5087,SUCCESS
2025-08-11,Grocery,22,SUCCESS
2021-10-06,Utilities,275,SUCCESS
2024-05-04,Grocery,444,SUCCESS
2025-04-22,Shopping,2154,SUCCESS
2019-08-06,Grocery,3459,SUCCESS
2024-07-26,Shopping,3235,SUCCESS
2024-04-14,Utilities,612,SUCCESS
2025-04-06,Other,2558,SUCCESS
2024-12-03,Grocery,3146,SUCCESS
2024-09-04,Shopping,22,SUCCESS
2025-04-09,Grocery,22,SUCCESS
2025-11-28,Food,22,SUCCESS
2025-07-25,Healthcare,2553,SUCCESS
2024-01-08,Food,330,SUCCESS
2020-07-14,Other,22,SUCCESS
2024-03-14,Food,1536,SUCCESS
2023-06-12,Food,728,SUCCESS
2025-08-27,Entertainment,22,SUCCESS
2023-12-25,Healthcare,1383,SUCCESS
2023-02-04,Grocery,22,SUCCESS
2025-03-31,Fuel,2544,SUCCESS
2023-11-13,Food,22,SUCCESS
2023-02-12,Grocery,22,SUCCESS
2024-05-26,Food,2872,SUCCESS
2024-12-02,Fuel,5347,FAILED
2023-04-29,Food,22,SUCCESS
2025-03-05,Shopping,910,FAILED
2022-10-16,Utilities,2962,FAILED
2025-07-27,Food,22,SUCCESS
2025-08-02,Transport,2857,SUCCESS
2022-05-22,Grocery,1188,SUCCESS
2026-04-12,Grocery,25,SUCCESS
2022-04-11,Grocery,584,SUCCESS
2025-06-24,Healthcare,2038,SUCCESS
2024-10-03,Fuel,2833,SUCCESS
2021-07-07,Shopping,30,SUCCESS
2025-05-18,Other,1608,SUCCESS
2026-05-28,Utilities,2202,SUCCESS
2024-12-05,Food,2642,SUCCESS
2025-02-13,Food,1947,SUCCESS
2025-06-16,Transport,22,SUCCESS
2020-08-04,Food,22,SUCCESS
2026-05-28,Other,22,SUCCESS
2025-01-10,Grocery,1674,SUCCESS
2021-08-31,Utilities,1303,SUCCESS
2024-03-14,Food,425,SUCCESS
2023-09-27,Food,1367,SUCCESS
2024-04-16,Grocery,325,SUCCESS
2021-11-01,Shopping,876,SUCCESS
2025-09-19,Utilities,402,SUCCESS
2025-09-03,Entertainment,589,SUCCESS
2023-08-09,Grocery,22,SUCCESS
2024-10-17,Food,4333,SUCCESS
2025-10-11,Other,2684,SUCCESS
2018-10-14,Healthcare,22,SUCCESS
2023-09-21,Food,1997,SUCCESS
2024-08-27,Shopping,22,SUCCESS
2025-06-05,Other,1374,SUCCESS
2021-07-05,Transport,110,SUCCESS
2019-07-28,Utilities,742,SUCCESS
2025-11-11,Utilities,1344,SUCCESS
2022-01-15,Entertainment,22,SUCCESS
2026-05-21,Healthcare,2276,SUCCESS
2024-05-26,Food,1528,SUCCESS
2024-11-25,Healthcare,937,SUCCESS
2025-12-19,Food,3958,SUCCESS
2020-04-24,Grocery,22,SUCCESS
2025-10-21,Shopping,22,SUCCESS
2020-11-11,Grocery,540,SUCCESS
2023-11-28,Other,4442,SUCCESS
2026-01-10,Entertainment,22,SUCCESS
2023-01-30,Food,3831,FAILED
2022-10-13,Utilities,22,SUCCESS
2022-08-16,Shopping,2698,SUCCESS
2025-05-11,Food,3016,SUCCESS
2023-06-29,Fuel,2618,SUCCESS
2018-04-05,Other,5174,SUCCESS
2025-03-15,Other,539,SUCCESS
2019-03-21,Healthcare,3566,SUCCESS
2023-06-03,Other,1247,SUCCESS
2025-07-16,Shopping,1561,SUCCESS
2023-08-07,Education,2604,SUCCESS
2025-12-11,Utilities,4467,SUCCESS
2023-09-21,Grocery,22,SUCCESS
2025-08-23,Other,22,SUCCESS
2024-03-14,Shopping,1392,SUCCESS
2025-10-27,Grocery,1961,SUCCESS
2023-03-07,Grocery,22,FAILED
2022-05-27,Entertainment,22,SUCCESS
2025-11-08,Healthcare,3260,SUCCESS
2021-07-24,Utilities,651,SUCCESS
2026-02-10,Entertainment,22,SUCCESS
2021-02-24,Grocery,752,SUCCESS
2024-04-25,Utilities,5347,SUCCESS
2022-07-29,Utilities,1224,SUCCESS
2026-02-05,Other,5060,SUCCESS
2024-05-15,Fuel,1609,SUCCESS
2022-01-24,Transport,1885,SUCCESS
2024-03-31,Healthcare,1398,FAILED
2026-02-14,Grocery,276,FAILED
2024-02-15,Shopping,138,SUCCESS
2022-06-20,Healthcare,860,SUCCESS
2022-10-31,Grocery,22,SUCCESS
2022-11-16,Shopping,22,SUCCESS
2025-07-13,Other,189,SUCCESS
2022-04-25,Entertainment,2876,SUCCESS
2024-10-13,Grocery,22,SUCCESS
2023-10-02,Food,883,FAILED
2023-06-14,Food,1051,FAILED
2024-01-14,Other,22,SUCCESS
2023-08-05,Other,1015,SUCCESS
2023-10-28,Fuel,138,SUCCESS
2026-02-10,Shopping,22,SUCCESS
2024-06-16,Other,1991,SUCCESS
2023-08-31,Food,3183,SUCCESS
2025-04-03,Utilities,2409,SUCCESS
2026-04-04,Food,3856,SUCCESS
2023-07-27,Entertainment,22,SUCCESS
2024-12-13,Healthcare,1936,SUCCESS
2025-09-02,Other,22,SUCCESS
2023-08-25,Shopping,494,FAILED
2025-04-16,Utilities,22,SUCCESS
2023-01-07,Other,22,SUCCESS
2023-09-04,Other,5465,SUCCESS
2022-10-24,Healthcare,645,SUCCESS
2025-04-16,Fuel,1221,SUCCESS
2022-11-18,Entertainment,116,SUCCESS
2023-09-13,Utilities,939,SUCCESS
2022-07-05,Shopping,1379,SUCCESS
2023-01-24,Grocery,5594,SUCCESS
2024-12-30,Food,2681,SUCCESS
2022-08-06,Shopping,22,SUCCESS
2024-04-02,Food,856,SUCCESS
2023-01-05,Entertainment,1498,SUCCESS
2023-10-08,Utilities,1465,SUCCESS
2022-06-25,Grocery,3121,SUCCESS
2026-01-11,Shopping,477,SUCCESS
2020-09-01,Food,22,SUCCESS
2024-02-06,Grocery,2207,SUCCESS
2021-08-01,Grocery,1110,SUCCESS
2026-05-18,Grocery,751,SUCCESS
2022-06-15,Utilities,2229,SUCCESS
2021-03-16,Grocery,22,SUCCESS
2024-05-28,Other,1620,SUCCESS
2022-07-01,Other,1796,SUCCESS
2023-12-06,Fuel,3868,SUCCESS
2024-07-23,Food,2680,SUCCESS
2018-02-06,Entertainment,177,SUCCESS
2019-10-24,Education,22,SUCCESS
2021-09-04,Shopping,1214,SUCCESS
2026-04-21,Shopping,578,SUCCESS
2018-08-24,Grocery,2224,SUCCESS
2026-01-23,Other,1894,SUCCESS
2026-01-09,Food,22,SUCCESS
2020-07-22,Transport,22,SUCCESS
2026-02-06,Healthcare,595,SUCCESS
2018-08-29,Entertainment,22,SUCCESS
2025-12-14,Food,22,SUCCESS
2021-12-30,Utilities,557,FAILED
2021-01-14,Utilities,22,SUCCESS
2024-08-08,Fuel,1524,SUCCESS
2025-12-29,Transport,1304,SUCCESS
2025-02-19,Shopping,1429,SUCCESS
2025-07-09,Utilities,22,SUCCESS
2025-07-20,Other,2005,SUCCESS
2021-02-11,Food,2892,SUCCESS
2023-11-24,Education,22,SUCCESS
2023-03-24,Shopping,22,SUCCESS
2025-11-16,Food,1875,SUCCESS
2023-06-27,Other,1298,SUCCESS
2022-05-15,Entertainment,1097,SUCCESS
2019-11-21,Fuel,585,SUCCESS
2025-10-30,Grocery,192,SUCCESS
2024-03-16,Food,46,SUCCESS
2024-11-13,Food,673,SUCCESS
2022-10-21,Utilities,1617,SUCCESS
2022-07-10,Fuel,22,SUCCESS
2025-10-24,Grocery,1220,SUCCESS
2024-12-07,Food,1070,SUCCESS
2021-06-07,Food,22,SUCCESS
2021-09-04,Healthcare,22,SUCCESS
2025-11-07,Food,38,SUCCESS
2025-06-26,Transport,3402,SUCCESS
2023-06-06,Food,1554,SUCCESS
2021-05-29,Shopping,22,SUCCESS
2022-07-11,Fuel,2501,SUCCESS
2026-04-23,Grocery,22,SUCCESS
2023-03-25,Grocery,348,SUCCESS
2023-03-18,Food,1990,SUCCESS
2023-02-25,Food,2048,SUCCESS
2021-04-07,Education,2687,SUCCESS
2022-08-31,Entertainment,22,SUCCESS
2022-01-13,Healthcare,2883,SUCCESS
2025-12-25,Utilities,2748,SUCCESS
2023-08-09,Entertainment,2786,SUCCESS
2025-12-18,Shopping,3606,SUCCESS
2024-03-10,Food,2102,SUCCESS
2022-12-25,Food,22,SUCCESS
2023-03-17,Shopping,687,SUCCESS
2025-12-18,Grocery,2830,SUCCESS
2025-10-19,Food,338,SUCCESS
2026-02-21,Food,22,SUCCESS
2023-03-12,Shopping,2832,SUCCESS
2023-07-01,Utilities,498,SUCCESS
2024-02-20,Food,3082,SUCCESS
2025-11-03,Entertainment,3587,SUCCESS
2024-10-23,Food,3758,SUCCESS
2021-01-09,Other,22,SUCCESS
2025-09-01,Other,934,SUCCESS
2022-11-11,Food,2754,SUCCESS
2018-10-13,Shopping,22,SUCCESS
2024-12-13,Other,1530,SUCCESS
2024-08-02,Utilities,22,SUCCESS
2021-01-09,Transport,712,SUCCESS
2020-08-27,Food,22,SUCCESS
2020-04-28,Entertainment,4869,SUCCESS
2022-02-14,Food,2356,SUCCESS
2025-10-08,Entertainment,2539,SUCCESS
2022-12-07,Grocery,3224,FAILED
2022-05-16,Utilities,22,SUCCESS
2024-02-24,Grocery,442,SUCCESS
2024-05-10,Other,1373,SUCCESS
2023-12-11,Other,22,SUCCESS
2024-09-03,Food,2984,SUCCESS
2023-05-11,Food,22,SUCCESS
2022-09-12,Food,1703,SUCCESS
2024-06-02,Food,1815,SUCCESS
2023-01-06,Fuel,2171,SUCCESS
2022-10-16,Grocery,22,SUCCESS
2025-06-08,Transport,837,SUCCESS
2026-05-13,Entertainment,22,SUCCESS
2026-01-24,Utilities,22,SUCCESS
2019-11-21,Shopping,22,SUCCESS
2025-06-13,Other,22,SUCCESS
2023-05-13,Other,593,SUCCESS
2025-11-12,Shopping,1109,SUCCESS
2026-01-13,Fuel,412,SUCCESS
2022-10-30,Grocery,1909,SUCCESS
2021-12-25,Other,384,SUCCESS
2023-07-15,Food,22,SUCCESS
2023-06-03,Shopping,4999,SUCCESS
2021-04-12,Grocery,140,SUCCESS
2025-08-22,Food,501,SUCCESS
2025-02-14,Transport,3281,SUCCESS
2022-10-16,Healthcare,2102,SUCCESS
2024-04-10,Entertainment,1228,SUCCESS
2021-02-19,Healthcare,759,SUCCESS
2026-04-08,Healthcare,1222,SUCCESS
2024-04-15,Food,22,SUCCESS
2024-03-11,Fuel,1920,SUCCESS
2025-06-26,Fuel,1195,SUCCESS
2019-01-13,Other,326,SUCCESS
2021-11-15,Grocery,2980,SUCCESS
2025-02-16,Entertainment,764,SUCCESS
2024-07-28,Grocery,2061,SUCCESS
2025-03-22,Shopping,4478,SUCCESS
2024-02-16,Other,1764,SUCCESS
2020-04-04,Utilities,22,SUCCESS
2021-09-27,Grocery,1647,SUCCESS
2024-03-17,Grocery,2059,SUCCESS
2023-02-21,Entertainment,1910,SUCCESS
2025-11-08,Other,22,SUCCESS
2023-09-12,Other,2934,SUCCESS
2024-10-30,Other,1017,FAILED
2023-04-25,Food,39,SUCCESS
2025-05-11,Food,2589,SUCCESS
2024-02-24,Fuel,2622,SUCCESS
2024-05-16,Food,76,SUCCESS
2025-06-06,Food,3560,SUCCESS
2021-10-19,Other,530,SUCCESS
2023-10-15,Food,1813,SUCCESS
2020-12-03,Entertainment,481,SUCCESS
2025-08-11,Food,22,FAILED
2021-12-20,Food,4291,SUCCESS
2026-01-31,Entertainment,22,SUCCESS
2024-10-19,Fuel,6587,SUCCESS
2023-12-26,Other,1876,SUCCESS
2022-11-05,Utilities,4610,SUCCESS
2025-09-30,Other,1916,SUCCESS
2025-09-20,Utilities,1298,SUCCESS
2020-11-13,Fuel,1278,SUCCESS
2023-11-04,Entertainment,43,SUCCESS
2023-04-11,Food,402,SUCCESS
2022-05-01,Other,728,SUCCESS
2025-07-23,Grocery,22,SUCCESS
2025-07-20,Other,1585,SUCCESS
2019-09-21,Other,1586,SUCCESS
2023-02-19,Education,1080,SUCCESS
2021-04-30,Food,22,SUCCESS
2021-02-05,Fuel,639,SUCCESS
2023-04-09,Healthcare,871,SUCCESS
2025-05-24,Entertainment,3193,SUCCESS
2025-03-20,Other,22,SUCCESS
2025-06-21,Other,1375,FAILED
2023-07-16,Grocery,2467,SUCCESS
2024-06-21,Grocery,1273,SUCCESS
2020-09-07,Shopping,22,SUCCESS
2025-07-07,Entertainment,170,FAILED
2023-06-04,Food,1447,SUCCESS
2018-08-19,Entertainment,260,SUCCESS
2020-08-31,Grocery,1708,SUCCESS
2016-07-01,Grocery,3358,SUCCESS
2022-10-14,Food,1188,SUCCESS
2024-08-20,Utilities,1087,SUCCESS
2022-01-14,Food,22,SUCCESS
2019-08-15,Grocery,1433,FAILED
2025-10-26,Entertainment,287,SUCCESS
2026-02-06,Utilities,4181,SUCCESS
2020-07-22,Utilities,22,SUCCESS
2023-06-12,Food,22,SUCCESS
2023-01-06,Grocery,2056,SUCCESS
2025-05-29,Utilities,1272,SUCCESS
2024-10-19,Utilities,1927,SUCCESS
2023-05-09,Shopping,2741,SUCCESS
2023-06-16,Food,1862,SUCCESS
2024-12-27,Grocery,2979,SUCCESS
2025-02-12,Food,2453,SUCCESS
2019-04-11,Utilities,759,SUCCESS
2025-05-18,Food,2686,SUCCESS
2025-03-18,Grocery,1654,SUCCESS
2025-11-05,Other,22,SUCCESS
2022-05-17,Fuel,2685,SUCCESS
2025-10-23,Other,22,FAILED
2025-06-21,Entertainment,1074,SUCCESS
2025-10-01,Entertainment,1231,SUCCESS
2022-06-03,Entertainment,22,SUCCESS
2019-04-15,Education,22,SUCCESS
2021-12-14,Grocery,2308,SUCCESS
2023-08-12,Education,1099,SUCCESS
2018-12-24,Other,1890,SUCCESS
2022-11-16,Grocery,2300,SUCCESS
2024-03-05,Food,2107,SUCCESS
2025-02-19,Healthcare,134,SUCCESS
2026-03-02,Food,2737,SUCCESS
2021-01-21,Other,2273,SUCCESS
2021-11-29,Healthcare,630,SUCCESS
2023-07-24,Utilities,2480,SUCCESS
2019-06-02,Utilities,22,SUCCESS
2026-03-03,Grocery,22,SUCCESS
2021-01-13,Education,834,SUCCESS
2022-04-23,Education,1690,SUCCESS
2026-05-23,Entertainment,22,SUCCESS
2025-03-11,Entertainment,1471,SUCCESS
2022-05-05,Healthcare,22,SUCCESS
2022-08-31,Utilities,1570,SUCCESS
2026-04-07,Other,1905,SUCCESS
2026-02-08,Food,407,SUCCESS
2025-02-06,Other,1943,SUCCESS
2018-06-06,Transport,2653,SUCCESS
2022-05-11,Food,22,SUCCESS
2021-03-06,Other,1568,SUCCESS
2023-08-01,Entertainment,1861,SUCCESS
2022-05-14,Utilities,1610,SUCCESS
2023-06-06,Healthcare,22,SUCCESS
2021-07-29,Food,960,SUCCESS
2024-11-03,Food,1301,SUCCESS
2026-04-28,Grocery,2195,FAILED
2019-04-17,Food,251,SUCCESS
2026-02-14,Food,22,SUCCESS
2025-03-13,Food,2478,SUCCESS
2025-08-12,Food,2326,SUCCESS
2020-06-03,Grocery,1328,SUCCESS
2026-05-08,Fuel,783,SUCCESS
2026-01-10,Grocery,4410,SUCCESS
2024-08-14,Grocery,2606,SUCCESS
2022-02-14,Other,458,SUCCESS
2020-12-21,Fuel,2168,SUCCESS
2025-11-12,Entertainment,284,SUCCESS
2025-12-27,Fuel,22,SUCCESS
2023-12-30,Transport,22,SUCCESS
2024-09-07,Food,2555,SUCCESS
2023-05-22,Fuel,557,SUCCESS
2024-02-05,Healthcare,1505,SUCCESS
2022-01-22,Healthcare,818,SUCCESS
2025-06-09,Utilities,22,SUCCESS
2020-05-12,Other,3435,SUCCESS
2025-01-12,Shopping,22,SUCCESS
2024-10-15,Fuel,22,SUCCESS
2026-02-19,Utilities,1117,SUCCESS
2026-01-06,Food,2420,SUCCESS
2021-09-20,Shopping,3962,SUCCESS
2019-01-02,Shopping,22,FAILED
2025-08-04,Food,22,SUCCESS
2022-09-11,Transport,2325,SUCCESS
2025-05-28,Entertainment,22,SUCCESS
2024-06-30,Shopping,22,SUCCESS
2019-05-23,Entertainment,1919,SUCCESS
2023-04-21,Shopping,1709,SUCCESS
2021-09-25,Grocery,322,SUCCESS
2022-10-07,Food,904,SUCCESS
2024-02-13,Entertainment,3332,SUCCESS
2018-08-20,Shopping,1061,SUCCESS
